"status.codeValue","orgIdNumber","name","classificationCode.codeValue","address.sequenceNo","address.addressType","address.mailingIndex","address.header","address.organizationName","address.street1","address.street2","address.city","address.state","address.zip","address.country","dioProvince","parentId""status.codeValue","orgIdNumber","name","classificationCode.codeValue","address.sequenceNo","address.addressType","address.mailingIndex","address.header","address.organizationName","address.street1","address.street2","address.city","address.state","address.zip","address.country","dioProvince","parentId""status.codeValue","orgIdNumber","name","classificationCode.codeValue","address.sequenceNo","address.addressType","address.mailingIndex","address.header","address.organizationName","address.street1","address.street2","address.city","address.state","address.zip","address.country","dioProvince","parentId""status.codeValue","orgIdNumber","name","classificationCode.codeValue","address.sequenceNo","address.addressType","address.mailingIndex","address.header","address.organizationName","address.street1","address.street2","address.city","address.state","address.zip","address.country","dioProvince","parentId""status.codeValue","orgIdNumber","name","classificationCode.codeValue","address.sequenceNo","address.addressType","address.mailingIndex","address.header","address.organizationName","address.street1","address.street2","address.city","address.state","address.zip","address.country","dioProvince","parentId"
"Active",4019,"Archdiocese of Anchorage","US Diocese",1,"Phys/Mail",true,,,"225 Cordova St.",,"576256ba264abc2b3b954d57","576230b9c19c494dcc08ceda","99501","5718d7abca75ca39db934831",,"NULL"
"Active",4019,"Archdiocese of Anchorage","US Diocese",2,"PH",false,"Chancery Office",,"225 Cordova St.",,"576256ba264abc2b3b954d57","576230b9c19c494dcc08ceda","99501","5718d7abca75ca39db934831",,"NULL"
"Active",4019,"Archdiocese of Anchorage","US Diocese",3,"Dummy",false,,,,,,,,,,"NULL"
"Active",4918,"Diocese of Arlington","US Diocese",1,"Phys/Mail",true,,,"200 N. Glebe Rd., Ste. 914",,"57625731264abc2b3b958d48","576230b9c19c494dcc08cf08","22203","5718d7abca75ca39db934831",,"NULL"
"Active",4918,"Diocese of Arlington","US Diocese",2,"PH",false,"The Chancery",,"200 N. Glebe Rd., Ste. 914",,"57625731264abc2b3b958d48","576230b9c19c494dcc08cf08","22203","5718d7abca75ca39db934831",,"NULL"
"Active",4918,"Diocese of Arlington","US Diocese",3,"Dummy",false,,,,,,,,,,"NULL"
"Active",282,"Diocese of Albany","US Diocese",1,"Phys/Mail",true,,,"40 N. Main Ave.",,"576256f7264abc2b3b9578b8","576230b9c19c494dcc08cefc","12203-1422","5718d7abca75ca39db934831",,"NULL"
"Active",282,"Diocese of Albany","US Diocese",2,"PH",false,"Chancery Office","Pastoral Center","40 N. Main Ave.",,"576256f7264abc2b3b9578b8","576230b9c19c494dcc08cefc","12203","5718d7abca75ca39db934831",,"NULL"
"Active",282,"Diocese of Albany","US Diocese",3,"Dummy",false,,,,,,,,,,"NULL"
"Active",2236,"Diocese of Allentown","US Diocese",1,"Phys/Mail",true,,,,"P.O. Box F","5762570e264abc2b3b9581c0","576230b9c19c494dcc08cf00","18105-1538","5718d7abca75ca39db934831",,"NULL"
